# 132 policies / 3000 grouping policies / 300 subjuects / 6 roles
# Policy - staff001
p, staff001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1001
p, staff002,             /orgs,                        App005.*

# Policy - manager001
p, manager001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1001
p, manager001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1002
p, manager001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1003
p, manager001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1004
p, manager001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1005
p, manager001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2001
p, manager001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2002
p, manager001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2003
p, manager001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2004
p, manager001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2005

p, manager001,             /orgs/{orgID}/sites,          App001.Module002.Action1006
p, manager001,             /orgs/{orgID}/sites,          App001.Module002.Action1007
p, manager001,             /orgs/{orgID}/sites,          App001.Module002.Action1008
p, manager001,             /orgs/{orgID}/sites,          App001.Module002.Action1009
p, manager001,             /orgs/{orgID}/sites,          App001.Module002.Action1010
p, manager001,             /orgs/{orgID}/sites,          App003.*.Action3001
p, manager001,             /orgs/{orgID}/sites,          App003.*.Action3002
p, manager001,             /orgs/{orgID}/sites,          App003.*.Action3003
p, manager001,             /orgs/{orgID}/sites,          App003.*.Action3004
p, manager001,             /orgs/{orgID}/sites,          App003.*.Action3005

p, manager001,             /orgs/{orgID},                App004.*
p, manager001,             /orgs,                        App005.*

# Policy - manager002
p, manager002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1001
p, manager002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1002
p, manager002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1003
p, manager002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1004
p, manager002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1005
p, manager002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2001
p, manager002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2002
p, manager002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2003
p, manager002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2004
p, manager002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2005

p, manager002,             /orgs/{orgID}/sites,          App001.Module002.Action1006
p, manager002,             /orgs/{orgID}/sites,          App001.Module002.Action1007
p, manager002,             /orgs/{orgID}/sites,          App001.Module002.Action1008
p, manager002,             /orgs/{orgID}/sites,          App001.Module002.Action1009
p, manager002,             /orgs/{orgID}/sites,          App001.Module002.Action1010
p, manager002,             /orgs/{orgID}/sites,          App003.*.Action3001
p, manager002,             /orgs/{orgID}/sites,          App003.*.Action3002
p, manager002,             /orgs/{orgID}/sites,          App003.*.Action3003
p, manager002,             /orgs/{orgID}/sites,          App003.*.Action3004
p, manager002,             /orgs/{orgID}/sites,          App003.*.Action3005

p, manager002,             /orgs/{orgID},                App004.*
p, manager002,             /orgs,                        App005.*

# Policy - customer001
p, customer001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1001
p, customer001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1002
p, customer001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1003
p, customer001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1004
p, customer001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1005
p, customer001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2001
p, customer001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2002
p, customer001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2003
p, customer001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2004
p, customer001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2005

p, customer001,             /orgs/{orgID}/sites,          App001.Module002.Action1006
p, customer001,             /orgs/{orgID}/sites,          App001.Module002.Action1007
p, customer001,             /orgs/{orgID}/sites,          App001.Module002.Action1008
p, customer001,             /orgs/{orgID}/sites,          App001.Module002.Action1009
p, customer001,             /orgs/{orgID}/sites,          App001.Module002.Action1010
p, customer001,             /orgs/{orgID}/sites,          App003.*.Action3001
p, customer001,             /orgs/{orgID}/sites,          App003.*.Action3002
p, customer001,             /orgs/{orgID}/sites,          App003.*.Action3003
p, customer001,             /orgs/{orgID}/sites,          App003.*.Action3004
p, customer001,             /orgs/{orgID}/sites,          App003.*.Action3005

p, customer001,             /orgs/{orgID},                App004.*
p, customer001,             /orgs,                        App005.*

# Policy - customer002
p, customer002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1001
p, customer002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1002
p, customer002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1003
p, customer002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1004
p, customer002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1005
p, customer002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2001
p, customer002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2002
p, customer002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2003
p, customer002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2004
p, customer002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2005

p, customer002,             /orgs/{orgID}/sites,          App001.Module002.Action1006
p, customer002,             /orgs/{orgID}/sites,          App001.Module002.Action1007
p, customer002,             /orgs/{orgID}/sites,          App001.Module002.Action1008
p, customer002,             /orgs/{orgID}/sites,          App001.Module002.Action1009
p, customer002,             /orgs/{orgID}/sites,          App001.Module002.Action1010
p, customer002,             /orgs/{orgID}/sites,          App003.*.Action3001
p, customer002,             /orgs/{orgID}/sites,          App003.*.Action3002
p, customer002,             /orgs/{orgID}/sites,          App003.*.Action3003
p, customer002,             /orgs/{orgID}/sites,          App003.*.Action3004
p, customer002,             /orgs/{orgID}/sites,          App003.*.Action3005

p, customer002,             /orgs/{orgID},                App004.*
p, customer002,             /orgs,                        App005.*

# Group - staff001,  / org1
g, staffUser1001, staff001, /orgs/1/sites/site001
g, staffUser1001, staff001, /orgs/1/sites/site002
g, staffUser1001, staff001, /orgs/1/sites/site003
g, staffUser1001, staff001, /orgs/1/sites/site004
g, staffUser1001, staff001, /orgs/1/sites/site005

g, staffUser1001, staff001, /orgs/1/sites/site001
g, staffUser1001, staff001, /orgs/1/sites/site002
g, staffUser1001, staff001, /orgs/1/sites/site003
g, staffUser1001, staff001, /orgs/1/sites/site004
g, staffUser1001, staff001, /orgs/1/sites/site005

g, staffUser1003, staff001, /orgs/1/sites/site001
g, staffUser1003, staff001, /orgs/1/sites/site002
g, staffUser1003, staff001, /orgs/1/sites/site003
g, staffUser1003, staff001, /orgs/1/sites/site004
g, staffUser1003, staff001, /orgs/1/sites/site005

g, staffUser1004, staff001, /orgs/1/sites/site001
g, staffUser1004, staff001, /orgs/1/sites/site002
g, staffUser1004, staff001, /orgs/1/sites/site003
g, staffUser1004, staff001, /orgs/1/sites/site004
g, staffUser1004, staff001, /orgs/1/sites/site005

g, staffUser1005, staff001, /orgs/1/sites/site001
g, staffUser1005, staff001, /orgs/1/sites/site002
g, staffUser1005, staff001, /orgs/1/sites/site003
g, staffUser1005, staff001, /orgs/1/sites/site004
g, staffUser1005, staff001, /orgs/1/sites/site005

g, staffUser1006, staff001, /orgs/1/sites/site001
g, staffUser1006, staff001, /orgs/1/sites/site002
g, staffUser1006, staff001, /orgs/1/sites/site003
g, staffUser1006, staff001, /orgs/1/sites/site004
g, staffUser1006, staff001, /orgs/1/sites/site005

g, staffUser1007, staff001, /orgs/1/sites/site001
g, staffUser1007, staff001, /orgs/1/sites/site002
g, staffUser1007, staff001, /orgs/1/sites/site003
g, staffUser1007, staff001, /orgs/1/sites/site004
g, staffUser1007, staff001, /orgs/1/sites/site005

g, staffUser1008,  staff001, /orgs/1/sites/site001
g, staffUser1008,  staff001, /orgs/1/sites/site002
g, staffUser1008,  staff001, /orgs/1/sites/site003
g, staffUser1008,  staff001, /orgs/1/sites/site004
g, staffUser1008,  staff001, /orgs/1/sites/site005

g, staffUser1009,  staff001, /orgs/1/sites/site001
g, staffUser1009,  staff001, /orgs/1/sites/site002
g, staffUser1009,  staff001, /orgs/1/sites/site003
g, staffUser1009,  staff001, /orgs/1/sites/site004
g, staffUser1009,  staff001, /orgs/1/sites/site005

g, staffUser1010,  staff001, /orgs/1/sites/site001
g, staffUser1010,  staff001, /orgs/1/sites/site002
g, staffUser1010,  staff001, /orgs/1/sites/site003
g, staffUser1010,  staff001, /orgs/1/sites/site004
g, staffUser1010,  staff001, /orgs/1/sites/site005

g, staffUser1011,  staff001, /orgs/1/sites/site001
g, staffUser1011,  staff001, /orgs/1/sites/site002
g, staffUser1011,  staff001, /orgs/1/sites/site003
g, staffUser1011,  staff001, /orgs/1/sites/site004
g, staffUser1011,  staff001, /orgs/1/sites/site005

g, staffUser1012,  staff001, /orgs/1/sites/site001
g, staffUser1012,  staff001, /orgs/1/sites/site002
g, staffUser1012,  staff001, /orgs/1/sites/site003
g, staffUser1012,  staff001, /orgs/1/sites/site004
g, staffUser1012,  staff001, /orgs/1/sites/site005

g, staffUser1013, staff001, /orgs/1/sites/site001
g, staffUser1013, staff001, /orgs/1/sites/site002
g, staffUser1013, staff001, /orgs/1/sites/site003
g, staffUser1013, staff001, /orgs/1/sites/site004
g, staffUser1013, staff001, /orgs/1/sites/site005

g, staffUser1014, staff001, /orgs/1/sites/site001
g, staffUser1014, staff001, /orgs/1/sites/site002
g, staffUser1014, staff001, /orgs/1/sites/site003
g, staffUser1014, staff001, /orgs/1/sites/site004
g, staffUser1014, staff001, /orgs/1/sites/site005

g, staffUser1015, staff001, /orgs/1/sites/site001
g, staffUser1015, staff001, /orgs/1/sites/site002
g, staffUser1015, staff001, /orgs/1/sites/site003
g, staffUser1015, staff001, /orgs/1/sites/site004
g, staffUser1015, staff001, /orgs/1/sites/site005

g, staffUser1016, staff001, /orgs/1/sites/site001
g, staffUser1016, staff001, /orgs/1/sites/site002
g, staffUser1016, staff001, /orgs/1/sites/site003
g, staffUser1016, staff001, /orgs/1/sites/site004
g, staffUser1016, staff001, /orgs/1/sites/site005

g, staffUser1017, staff001, /orgs/1/sites/site001
g, staffUser1017, staff001, /orgs/1/sites/site002
g, staffUser1017, staff001, /orgs/1/sites/site003
g, staffUser1017, staff001, /orgs/1/sites/site004
g, staffUser1017, staff001, /orgs/1/sites/site005

g, staffUser1018,  staff001, /orgs/1/sites/site001
g, staffUser1018,  staff001, /orgs/1/sites/site002
g, staffUser1018,  staff001, /orgs/1/sites/site003
g, staffUser1018,  staff001, /orgs/1/sites/site004
g, staffUser1018,  staff001, /orgs/1/sites/site005

g, staffUser1019,  staff001, /orgs/1/sites/site001
g, staffUser1019,  staff001, /orgs/1/sites/site002
g, staffUser1019,  staff001, /orgs/1/sites/site003
g, staffUser1019,  staff001, /orgs/1/sites/site004
g, staffUser1019,  staff001, /orgs/1/sites/site005

g, staffUser1020,  staff001, /orgs/1/sites/site001
g, staffUser1020,  staff001, /orgs/1/sites/site002
g, staffUser1020,  staff001, /orgs/1/sites/site003
g, staffUser1020,  staff001, /orgs/1/sites/site004
g, staffUser1020,  staff001, /orgs/1/sites/site005

g, staffUser1021,  staff001, /orgs/1/sites/site001
g, staffUser1021,  staff001, /orgs/1/sites/site002
g, staffUser1021,  staff001, /orgs/1/sites/site003
g, staffUser1021,  staff001, /orgs/1/sites/site004
g, staffUser1021,  staff001, /orgs/1/sites/site005

g, staffUser1022,  staff001, /orgs/1/sites/site001
g, staffUser1022,  staff001, /orgs/1/sites/site002
g, staffUser1022,  staff001, /orgs/1/sites/site003
g, staffUser1022,  staff001, /orgs/1/sites/site004
g, staffUser1022,  staff001, /orgs/1/sites/site005

g, staffUser1023, staff001, /orgs/1/sites/site001
g, staffUser1023, staff001, /orgs/1/sites/site002
g, staffUser1023, staff001, /orgs/1/sites/site003
g, staffUser1023, staff001, /orgs/1/sites/site004
g, staffUser1023, staff001, /orgs/1/sites/site005

g, staffUser1024, staff001, /orgs/1/sites/site001
g, staffUser1024, staff001, /orgs/1/sites/site002
g, staffUser1024, staff001, /orgs/1/sites/site003
g, staffUser1024, staff001, /orgs/1/sites/site004
g, staffUser1024, staff001, /orgs/1/sites/site005

g, staffUser1025, staff001, /orgs/1/sites/site001
g, staffUser1025, staff001, /orgs/1/sites/site002
g, staffUser1025, staff001, /orgs/1/sites/site003
g, staffUser1025, staff001, /orgs/1/sites/site004
g, staffUser1025, staff001, /orgs/1/sites/site005

g, staffUser1026, staff001, /orgs/1/sites/site001
g, staffUser1026, staff001, /orgs/1/sites/site002
g, staffUser1026, staff001, /orgs/1/sites/site003
g, staffUser1026, staff001, /orgs/1/sites/site004
g, staffUser1026, staff001, /orgs/1/sites/site005

g, staffUser1027, staff001, /orgs/1/sites/site001
g, staffUser1027, staff001, /orgs/1/sites/site002
g, staffUser1027, staff001, /orgs/1/sites/site003
g, staffUser1027, staff001, /orgs/1/sites/site004
g, staffUser1027, staff001, /orgs/1/sites/site005

g, staffUser1028,  staff001, /orgs/1/sites/site001
g, staffUser1028,  staff001, /orgs/1/sites/site002
g, staffUser1028,  staff001, /orgs/1/sites/site003
g, staffUser1028,  staff001, /orgs/1/sites/site004
g, staffUser1028,  staff001, /orgs/1/sites/site005

g, staffUser1029,  staff001, /orgs/1/sites/site001
g, staffUser1029,  staff001, /orgs/1/sites/site002
g, staffUser1029,  staff001, /orgs/1/sites/site003
g, staffUser1029,  staff001, /orgs/1/sites/site004
g, staffUser1029,  staff001, /orgs/1/sites/site005

g, staffUser1030,  staff001, /orgs/1/sites/site001
g, staffUser1030,  staff001, /orgs/1/sites/site002
g, staffUser1030,  staff001, /orgs/1/sites/site003
g, staffUser1030,  staff001, /orgs/1/sites/site004
g, staffUser1030,  staff001, /orgs/1/sites/site005

g, staffUser1031,  staff001, /orgs/1/sites/site001
g, staffUser1031,  staff001, /orgs/1/sites/site002
g, staffUser1031,  staff001, /orgs/1/sites/site003
g, staffUser1031,  staff001, /orgs/1/sites/site004
g, staffUser1031,  staff001, /orgs/1/sites/site005

g, staffUser1032,  staff001, /orgs/1/sites/site001
g, staffUser1032,  staff001, /orgs/1/sites/site002
g, staffUser1032,  staff001, /orgs/1/sites/site003
g, staffUser1032,  staff001, /orgs/1/sites/site004
g, staffUser1032,  staff001, /orgs/1/sites/site005

g, staffUser1033, staff001, /orgs/1/sites/site001
g, staffUser1033, staff001, /orgs/1/sites/site002
g, staffUser1033, staff001, /orgs/1/sites/site003
g, staffUser1033, staff001, /orgs/1/sites/site004
g, staffUser1033, staff001, /orgs/1/sites/site005

g, staffUser1034, staff001, /orgs/1/sites/site001
g, staffUser1034, staff001, /orgs/1/sites/site002
g, staffUser1034, staff001, /orgs/1/sites/site003
g, staffUser1034, staff001, /orgs/1/sites/site004
g, staffUser1034, staff001, /orgs/1/sites/site005

g, staffUser1035, staff001, /orgs/1/sites/site001
g, staffUser1035, staff001, /orgs/1/sites/site002
g, staffUser1035, staff001, /orgs/1/sites/site003
g, staffUser1035, staff001, /orgs/1/sites/site004
g, staffUser1035, staff001, /orgs/1/sites/site005

g, staffUser1036, staff001, /orgs/1/sites/site001
g, staffUser1036, staff001, /orgs/1/sites/site002
g, staffUser1036, staff001, /orgs/1/sites/site003
g, staffUser1036, staff001, /orgs/1/sites/site004
g, staffUser1036, staff001, /orgs/1/sites/site005

g, staffUser1037, staff001, /orgs/1/sites/site001
g, staffUser1037, staff001, /orgs/1/sites/site002
g, staffUser1037, staff001, /orgs/1/sites/site003
g, staffUser1037, staff001, /orgs/1/sites/site004
g, staffUser1037, staff001, /orgs/1/sites/site005

g, staffUser1038,  staff001, /orgs/1/sites/site001
g, staffUser1038,  staff001, /orgs/1/sites/site002
g, staffUser1038,  staff001, /orgs/1/sites/site003
g, staffUser1038,  staff001, /orgs/1/sites/site004
g, staffUser1038,  staff001, /orgs/1/sites/site005

g, staffUser1039,  staff001, /orgs/1/sites/site001
g, staffUser1039,  staff001, /orgs/1/sites/site002
g, staffUser1039,  staff001, /orgs/1/sites/site003
g, staffUser1039,  staff001, /orgs/1/sites/site004
g, staffUser1039,  staff001, /orgs/1/sites/site005

g, staffUser1040,  staff001, /orgs/1/sites/site001
g, staffUser1040,  staff001, /orgs/1/sites/site002
g, staffUser1040,  staff001, /orgs/1/sites/site003
g, staffUser1040,  staff001, /orgs/1/sites/site004
g, staffUser1040,  staff001, /orgs/1/sites/site005

g, staffUser1041,  staff001, /orgs/1/sites/site001
g, staffUser1041,  staff001, /orgs/1/sites/site002
g, staffUser1041,  staff001, /orgs/1/sites/site003
g, staffUser1041,  staff001, /orgs/1/sites/site004
g, staffUser1041,  staff001, /orgs/1/sites/site005

g, staffUser1042,  staff001, /orgs/1/sites/site001
g, staffUser1042,  staff001, /orgs/1/sites/site002
g, staffUser1042,  staff001, /orgs/1/sites/site003
g, staffUser1042,  staff001, /orgs/1/sites/site004
g, staffUser1042,  staff001, /orgs/1/sites/site005

g, staffUser1043, staff001, /orgs/1/sites/site001
g, staffUser1043, staff001, /orgs/1/sites/site002
g, staffUser1043, staff001, /orgs/1/sites/site003
g, staffUser1043, staff001, /orgs/1/sites/site004
g, staffUser1043, staff001, /orgs/1/sites/site005

g, staffUser1044, staff001, /orgs/1/sites/site001
g, staffUser1044, staff001, /orgs/1/sites/site002
g, staffUser1044, staff001, /orgs/1/sites/site003
g, staffUser1044, staff001, /orgs/1/sites/site004
g, staffUser1044, staff001, /orgs/1/sites/site005

g, staffUser1045, staff001, /orgs/1/sites/site001
g, staffUser1045, staff001, /orgs/1/sites/site002
g, staffUser1045, staff001, /orgs/1/sites/site003
g, staffUser1045, staff001, /orgs/1/sites/site004
g, staffUser1045, staff001, /orgs/1/sites/site005

g, staffUser1046, staff001, /orgs/1/sites/site001
g, staffUser1046, staff001, /orgs/1/sites/site002
g, staffUser1046, staff001, /orgs/1/sites/site003
g, staffUser1046, staff001, /orgs/1/sites/site004
g, staffUser1046, staff001, /orgs/1/sites/site005

g, staffUser1047, staff001, /orgs/1/sites/site001
g, staffUser1047, staff001, /orgs/1/sites/site002
g, staffUser1047, staff001, /orgs/1/sites/site003
g, staffUser1047, staff001, /orgs/1/sites/site004
g, staffUser1047, staff001, /orgs/1/sites/site005

g, staffUser1048,  staff001, /orgs/1/sites/site001
g, staffUser1048,  staff001, /orgs/1/sites/site002
g, staffUser1048,  staff001, /orgs/1/sites/site003
g, staffUser1048,  staff001, /orgs/1/sites/site004
g, staffUser1048,  staff001, /orgs/1/sites/site005

g, staffUser1049,  staff001, /orgs/1/sites/site001
g, staffUser1049,  staff001, /orgs/1/sites/site002
g, staffUser1049,  staff001, /orgs/1/sites/site003
g, staffUser1049,  staff001, /orgs/1/sites/site004
g, staffUser1049,  staff001, /orgs/1/sites/site005

g, staffUser1050,  staff001, /orgs/1/sites/site001
g, staffUser1050,  staff001, /orgs/1/sites/site002
g, staffUser1050,  staff001, /orgs/1/sites/site003
g, staffUser1050,  staff001, /orgs/1/sites/site004
g, staffUser1050,  staff001, /orgs/1/sites/site005

# Group - staff001, / org1
g, staffUser2001, staff001, /orgs/1/sites/site001
g, staffUser2001, staff001, /orgs/1/sites/site002
g, staffUser2001, staff001, /orgs/1/sites/site003
g, staffUser2001, staff001, /orgs/1/sites/site004
g, staffUser2001, staff001, /orgs/1/sites/site005

g, staffUser2001, staff001, /orgs/1/sites/site001
g, staffUser2001, staff001, /orgs/1/sites/site002
g, staffUser2001, staff001, /orgs/1/sites/site003
g, staffUser2001, staff001, /orgs/1/sites/site004
g, staffUser2001, staff001, /orgs/1/sites/site005

g, staffUser2003, staff001, /orgs/1/sites/site001
g, staffUser2003, staff001, /orgs/1/sites/site002
g, staffUser2003, staff001, /orgs/1/sites/site003
g, staffUser2003, staff001, /orgs/1/sites/site004
g, staffUser2003, staff001, /orgs/1/sites/site005

g, staffUser2004, staff001, /orgs/1/sites/site001
g, staffUser2004, staff001, /orgs/1/sites/site002
g, staffUser2004, staff001, /orgs/1/sites/site003
g, staffUser2004, staff001, /orgs/1/sites/site004
g, staffUser2004, staff001, /orgs/1/sites/site005

g, staffUser2005, staff001, /orgs/1/sites/site001
g, staffUser2005, staff001, /orgs/1/sites/site002
g, staffUser2005, staff001, /orgs/1/sites/site003
g, staffUser2005, staff001, /orgs/1/sites/site004
g, staffUser2005, staff001, /orgs/1/sites/site005

g, staffUser2006, staff001, /orgs/1/sites/site001
g, staffUser2006, staff001, /orgs/1/sites/site002
g, staffUser2006, staff001, /orgs/1/sites/site003
g, staffUser2006, staff001, /orgs/1/sites/site004
g, staffUser2006, staff001, /orgs/1/sites/site005

g, staffUser2007, staff001, /orgs/1/sites/site001
g, staffUser2007, staff001, /orgs/1/sites/site002
g, staffUser2007, staff001, /orgs/1/sites/site003
g, staffUser2007, staff001, /orgs/1/sites/site004
g, staffUser2007, staff001, /orgs/1/sites/site005

g, staffUser2008,  staff001, /orgs/1/sites/site001
g, staffUser2008,  staff001, /orgs/1/sites/site002
g, staffUser2008,  staff001, /orgs/1/sites/site003
g, staffUser2008,  staff001, /orgs/1/sites/site004
g, staffUser2008,  staff001, /orgs/1/sites/site005

g, staffUser2009,  staff001, /orgs/1/sites/site001
g, staffUser2009,  staff001, /orgs/1/sites/site002
g, staffUser2009,  staff001, /orgs/1/sites/site003
g, staffUser2009,  staff001, /orgs/1/sites/site004
g, staffUser2009,  staff001, /orgs/1/sites/site005

g, staffUser2010,  staff001, /orgs/1/sites/site001
g, staffUser2010,  staff001, /orgs/1/sites/site002
g, staffUser2010,  staff001, /orgs/1/sites/site003
g, staffUser2010,  staff001, /orgs/1/sites/site004
g, staffUser2010,  staff001, /orgs/1/sites/site005

g, staffUser2011,  staff001, /orgs/1/sites/site001
g, staffUser2011,  staff001, /orgs/1/sites/site002
g, staffUser2011,  staff001, /orgs/1/sites/site003
g, staffUser2011,  staff001, /orgs/1/sites/site004
g, staffUser2011,  staff001, /orgs/1/sites/site005

g, staffUser2012,  staff001, /orgs/1/sites/site001
g, staffUser2012,  staff001, /orgs/1/sites/site002
g, staffUser2012,  staff001, /orgs/1/sites/site003
g, staffUser2012,  staff001, /orgs/1/sites/site004
g, staffUser2012,  staff001, /orgs/1/sites/site005

g, staffUser2013, staff001, /orgs/1/sites/site001
g, staffUser2013, staff001, /orgs/1/sites/site002
g, staffUser2013, staff001, /orgs/1/sites/site003
g, staffUser2013, staff001, /orgs/1/sites/site004
g, staffUser2013, staff001, /orgs/1/sites/site005

g, staffUser2014, staff001, /orgs/1/sites/site001
g, staffUser2014, staff001, /orgs/1/sites/site002
g, staffUser2014, staff001, /orgs/1/sites/site003
g, staffUser2014, staff001, /orgs/1/sites/site004
g, staffUser2014, staff001, /orgs/1/sites/site005

g, staffUser2015, staff001, /orgs/1/sites/site001
g, staffUser2015, staff001, /orgs/1/sites/site002
g, staffUser2015, staff001, /orgs/1/sites/site003
g, staffUser2015, staff001, /orgs/1/sites/site004
g, staffUser2015, staff001, /orgs/1/sites/site005

g, staffUser2016, staff001, /orgs/1/sites/site001
g, staffUser2016, staff001, /orgs/1/sites/site002
g, staffUser2016, staff001, /orgs/1/sites/site003
g, staffUser2016, staff001, /orgs/1/sites/site004
g, staffUser2016, staff001, /orgs/1/sites/site005

g, staffUser2017, staff001, /orgs/1/sites/site001
g, staffUser2017, staff001, /orgs/1/sites/site002
g, staffUser2017, staff001, /orgs/1/sites/site003
g, staffUser2017, staff001, /orgs/1/sites/site004
g, staffUser2017, staff001, /orgs/1/sites/site005

g, staffUser2018,  staff001, /orgs/1/sites/site001
g, staffUser2018,  staff001, /orgs/1/sites/site002
g, staffUser2018,  staff001, /orgs/1/sites/site003
g, staffUser2018,  staff001, /orgs/1/sites/site004
g, staffUser2018,  staff001, /orgs/1/sites/site005

g, staffUser2019,  staff001, /orgs/1/sites/site001
g, staffUser2019,  staff001, /orgs/1/sites/site002
g, staffUser2019,  staff001, /orgs/1/sites/site003
g, staffUser2019,  staff001, /orgs/1/sites/site004
g, staffUser2019,  staff001, /orgs/1/sites/site005

g, staffUser2020,  staff001, /orgs/1/sites/site001
g, staffUser2020,  staff001, /orgs/1/sites/site002
g, staffUser2020,  staff001, /orgs/1/sites/site003
